Date,Open,High,Low,Close,Volume
2024-04-12,755.0,880.0,755.0,813.2999877929688,53465498
2024-04-15,785.5,820.0,783.0,806.0999755859375,5068261
2024-04-16,816.0,917.7000122070312,814.0,903.5,13031759
2024-04-18,921.0,1015.5499877929688,906.2000122070312,969.1500244140624,13608473
2024-04-19,949.9500122070312,986.7999877929688,926.1500244140624,947.1500244140624,5137294
2024-04-22,954.9000244140624,993.5499877929688,906.0,926.7999877929688,3677669
2024-04-23,925.0,939.7999877929688,907.0999755859376,927.2000122070312,2346573
2024-04-24,930.5999755859376,974.4500122070312,912.0,917.7999877929688,1271044
2024-04-25,916.9000244140624,921.1500244140624,901.0,908.25,988092
2024-04-26,909.5999755859376,919.0,875.4000244140625,894.6500244140625,1067575
2024-04-29,895.5499877929688,898.3499755859375,872.5,884.1500244140625,878004
2024-04-30,882.0,889.25,861.2000122070312,866.5,617812
2024-05-02,865.0,896.4000244140625,854.1500244140625,878.7999877929688,821324
2024-05-03,880.0,882.2999877929688,865.0,871.3499755859375,433165
2024-05-06,876.5999755859375,930.0,865.25,906.4500122070312,1320523
2024-05-07,915.0,918.4000244140624,870.0999755859375,886.0999755859375,834415
2024-05-08,880.0,887.0,858.25,869.8499755859375,1675583
2024-05-09,870.0,883.9500122070312,863.0,868.6500244140625,707120
2024-05-10,868.9000244140625,910.0,867.4000244140625,902.5999755859376,647972
2024-05-13,908.9000244140624,913.0,878.6500244140625,900.1500244140625,470673
2024-05-14,900.0,912.0,884.9500122070312,899.7000122070312,440688
2024-05-15,935.0,962.0,896.3499755859375,954.0499877929688,2431049
2024-05-16,962.7999877929688,979.9500122070312,935.0999755859376,941.5999755859376,904640
2024-05-17,944.7999877929688,978.9000244140624,940.0,966.5999755859376,814452
2024-05-21,967.5499877929688,967.5499877929688,933.9500122070312,941.7000122070312,585751
2024-05-22,945.0,970.0,939.5,964.75,463341
2024-05-23,967.0,1037.550048828125,966.25,1002.25,2089917
2024-05-24,1006.0,1034.0,992.2999877929688,1022.0499877929688,800713
2024-05-27,1030.6500244140625,1038.0,1012.0,1028.4000244140625,486858
2024-05-28,1029.949951171875,1037.449951171875,981.2000122070312,989.75,448053
2024-05-29,990.0,1030.9000244140625,986.1500244140624,1019.25,258009
2024-05-30,1019.6500244140624,1032.0,1007.9000244140624,1010.4500122070312,328974
2024-05-31,1017.0,1055.0,987.5,1023.4000244140624,967409
2024-06-03,1075.0,1089.949951171875,1040.0,1072.9000244140625,555233
2024-06-04,1061.050048828125,1061.0999755859375,909.4500122070312,960.2000122070312,1477151
2024-06-05,970.9000244140624,1048.0,936.0499877929688,1020.3499755859376,1704385
2024-06-06,1022.0999755859376,1066.949951171875,1015.0499877929688,1055.8499755859375,507070
2024-06-07,1062.6500244140625,1088.6500244140625,1040.0,1071.199951171875,435943
2024-06-10,1080.0,1119.0,1063.0999755859375,1091.0,502256
2024-06-11,1099.0,1099.5999755859375,1058.0,1077.550048828125,364656
2024-06-12,1086.949951171875,1117.949951171875,1078.0,1110.300048828125,980726
2024-06-13,1114.1500244140625,1118.0,1082.300048828125,1091.300048828125,304749
2024-06-14,1093.0,1094.0,1063.050048828125,1077.300048828125,346464
2024-06-18,1083.0,1174.5,1081.5,1154.75,643266
2024-06-19,1153.9000244140625,1161.9000244140625,1103.800048828125,1148.5999755859375,1060621
2024-06-20,1150.0,1165.0,1122.1500244140625,1133.25,609306
2024-06-21,1134.949951171875,1148.0,1085.050048828125,1118.300048828125,488207
2024-06-24,1113.0,1158.5,1104.5999755859375,1120.300048828125,466281
2024-06-25,1133.6500244140625,1173.949951171875,1127.0999755859375,1160.8499755859375,535989
2024-06-26,1167.199951171875,1368.5999755859375,1166.0,1257.1500244140625,3226448
2024-06-27,1279.800048828125,1279.800048828125,1152.0,1185.4000244140625,2074101
2024-06-28,1225.0,1242.9000244140625,1091.0,1116.8499755859375,3848210
2024-07-01,1126.0,1133.800048828125,1075.0999755859375,1099.8499755859375,1073344
2024-07-02,1105.050048828125,1119.0,1075.0,1080.199951171875,626986
2024-07-03,1084.949951171875,1102.949951171875,1071.050048828125,1083.9000244140625,508390
2024-07-04,1094.0,1098.0,1060.25,1073.550048828125,1302432
